Key	MapManNumber	Description
AT2G04780.1	GMM:10.5.1.1	cell wall.cell wall proteins.AGPs.AGP
AT2G04810.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT2G04860.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G04865.1	GMM:35.2	not assigned.unknown
AT2G04910.1		
AT2G04920.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT2G05070.1	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II
AT2G05100.1	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II
AT2G05380.1	GMM:35.2;GMM:35.1.40	not assigned.unknown;not assigned.no ontology.glycine rich proteins
AT2G05710.1	GMM:8.1.3	TCA / organic transformation.TCA.aconitase
AT2G05840.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT2G05990.1	GMM:11.1.6	lipid metabolism.FA synthesis and FA elongation.enoyl ACP reductase
AT2G06025.1	GMM:26.24	misc.GCN5-related N-acetyltransferase
AT2G06850.1	GMM:10.7	cell wall.modification
AT2G06960.1	GMM:17.5.1	hormone metabolism.ethylene.synthesis-degradation
AT2G06983.1	GMM:20.1.7	stress.biotic.PR-proteins
AT2G07040.1	GMM:30.2.3	signalling.receptor kinases.leucine rich repeat III
AT2G07698.1	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase
AT2G07981.1		
AT2G08986.1		
AT2G09990.1	GMM:29.2.1.2.1.16	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S16
AT2G10940.1	GMM:26.21	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
AT2G11270.1	GMM:8.1.2	TCA / organic transformation.TCA.CS
AT2G13360.1	GMM:13.1.5.2.3;GMM:13.1.1.3.11;GMM:1.2.3	amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.serine glyoxylate aminotransferase;amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine-glyoxylate aminotransferase;PS.photorespiration.aminotransferases peroxisomal
AT2G13450.1		
AT2G14050.1	GMM:28.1	DNA.synthesis/chromatin structure
AT2G14095.1	GMM:35.2	not assigned.unknown
AT2G14100.1	GMM:26.10	misc.cytochrome P450
AT2G14520.1	GMM:35.1	not assigned.no ontology
AT2G14680.1	GMM:31.1	cell.organisation
AT2G14720.1	GMM:29.3.4.3	protein.targeting.secretory pathway.vacuole
AT2G14960.1	GMM:17.2.3	hormone metabolism.auxin.induced-regulated-responsive-activated
AT2G15090.1	GMM:11.1.11	lipid metabolism.FA synthesis and FA elongation.fatty acid elongase
AT2G15320.1	GMM:30.8	signalling.misc
AT2G15535.1		
AT2G15620.1	GMM:12.1.2	N-metabolism.nitrate metabolism.nitrite reductase
AT2G16020.1		
AT2G16360.1	GMM:29.2.1.2.1.25	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S25
AT2G16365.4	GMM:35.1	not assigned.no ontology
AT2G16370.1	GMM:25;GMM:23.5.1	C1-metabolism;nucleotide metabolism.deoxynucleotide metabolism.dihydrofolate reductase-thymidylate synthase
AT2G16600.1	GMM:31.3.1	cell.cycle.peptidylprolyl isomerase
AT2G16780.1	GMM:33.99	development.unspecified
AT2G16880.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G17040.1	GMM:33.99	development.unspecified
AT2G17090.1	GMM:29.4.1.52	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase II
AT2G17180.1	GMM:27.3.11	RNA.regulation of transcription.C2H2 zinc finger family
AT2G17230.1	GMM:33.99;GMM:17.3.2.99	development.unspecified;hormone metabolism.brassinosteroid.signal transduction.other
AT2G17340.1	GMM:18.4.5	Co-factor and vitamine metabolism.pantothenate.pantothenate kinase (PANK)
AT2G17360.1	GMM:29.2.1.2.1.4	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S4
AT2G17440.1		
AT2G17520.1	GMM:29.4	protein.postranslational modification
AT2G17540.1	GMM:35.2	not assigned.unknown
AT2G17550.1		
AT2G17630.1	GMM:13.1.5.1.2	amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoserine aminotransferase
AT2G17670.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G18020.1	GMM:29.2.1.2.2.8	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L8
AT2G18110.1	GMM:29.2.4	protein.synthesis.elongation
AT2G18280.1	GMM:31.1	cell.organisation
AT2G18330.1	GMM:29.5.9	protein.degradation.AAA type
AT2G18400.1	GMM:29.2.1.2.2.6	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L6
AT2G18450.1	GMM:8.1.7	TCA / organic transformation.TCA.succinate dehydrogenase
AT2G18570.1	GMM:16.8.3	secondary metabolism.flavonoids.dihydroflavonols
AT2G18690.1		
AT2G18915.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT2G18915.2	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT2G18950.1	GMM:16.1.3.2	secondary metabolism.isoprenoids.tocopherol biosynthesis.homogentisate phytyltransferase
AT2G18960.1	GMM:34.1.2	transport.p- and v-ATPases.H+-exporting ATPase
AT2G19050.1	GMM:26.28	misc.GDSL-motif lipase
AT2G19120.1	GMM:28.1	DNA.synthesis/chromatin structure
AT2G19160.1	GMM:35.2	not assigned.unknown
AT2G19200.1		
AT2G19280.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G19385.1	GMM:27.3.11	RNA.regulation of transcription.C2H2 zinc finger family
AT2G19480.1	GMM:28.1	DNA.synthesis/chromatin structure
AT2G19740.1	GMM:29.2.1.2.2.31	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L31
AT2G19750.1	GMM:29.2.1.2.1.30	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S30
AT2G19760.1	GMM:31.1	cell.organisation
AT2G19860.1	GMM:2.2.1.4	major CHO metabolism.degradation.sucrose.hexokinase
AT2G19900.1	GMM:8.2.10	TCA / organic transformation.other organic acid transformations.malic
AT2G19940.1	GMM:13.1.2.3.3	amino acid metabolism.synthesis.glutamate family.arginine.N-acetylglutamate-5-P reductase
AT2G19950.1		
AT2G20020.1		
AT2G20140.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT2G20170.1		
AT2G20260.1	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits
AT2G20270.1	GMM:21.4	redox.glutaredoxins
AT2G20280.1	GMM:27.3.99	RNA.regulation of transcription.unclassified
AT2G20420.1	GMM:8.1.6	TCA / organic transformation.TCA.succinyl-CoA ligase
AT2G20450.1	GMM:29.2.1.2.2.14	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L14
AT2G20580.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT2G20610.1	GMM:16.5.1.1.4.2;GMM:13.2.6.2	secondary metabolism.sulfur-containing.glucosinolates.synthesis.shared.alkylthiohydroximate C-S lyase;amino acid metabolism.degradation.aromatic aa.tyrosine
AT2G20810.1	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases
AT2G20890.1	GMM:29.3	protein.targeting
AT2G20900.1	GMM:11.3.5	lipid metabolism.phospholipid synthesis.diacylglycerol kinase
AT2G20950.1	GMM:35.2	not assigned.unknown
AT2G20960.1	GMM:35.1	not assigned.no ontology
AT2G21060.1	GMM:27.3.75	RNA.regulation of transcription.GRP
AT2G21130.1	GMM:31.3.1	cell.cycle.peptidylprolyl isomerase
AT2G21160.1		
AT2G21170.1	GMM:1.3.5	PS.calvin cycle.TPI
AT2G21250.1	GMM:3.5	minor CHO metabolism.others
AT2G21280.1	GMM:31.2.5	cell.division.plastid
AT2G21330.1	GMM:1.3.6	PS.calvin cycle.aldolase
AT2G21450.1	GMM:27.3.44	RNA.regulation of transcription.chromatin remodeling factors
AT2G21510.1	GMM:20.2.1	stress.abiotic.heat
AT2G21530.1		
AT2G21590.1	GMM:2.1.2.1	major CHO metabolism.synthesis.starch.AGPase
AT2G21660.1	GMM:27.4	RNA.RNA binding
AT2G21870.1		
AT2G22125.1	GMM:35.1.19	not assigned.no ontology.C2 domain-containing protein
AT2G22140.1	GMM:35.2	not assigned.unknown
AT2G22170.1		
AT2G22230.1	GMM:11.1.5	lipid metabolism.FA synthesis and FA elongation.beta hydroxyacyl ACP dehydratase
AT2G22330.1	GMM:26.10;GMM:16.5.1.1.3.2	misc.cytochrome P450;secondary metabolism.sulfur-containing.glucosinolates.synthesis.indole.CYP79B3 monooxygenase
AT2G22340.1		
AT2G22540.1	GMM:33.99	development.unspecified
AT2G22570.1	GMM:16.2	secondary metabolism.phenylpropanoids
AT2G22600.1		
AT2G22610.1	GMM:31.1	cell.organisation
AT2G23110.1		
AT2G23120.1		
AT2G23220.1	GMM:26.10	misc.cytochrome P450
AT2G23300.1	GMM:30.2.3	signalling.receptor kinases.leucine rich repeat III
AT2G23350.1	GMM:27.1	RNA.processing
AT2G23450.1	GMM:30.2.25	signalling.receptor kinases.wall associated kinase
AT2G23670.1		
AT2G23890.1	GMM:35.1	not assigned.no ontology
AT2G24020.1		
AT2G24060.1	GMM:29.2.3	protein.synthesis.initiation
AT2G24090.1	GMM:29.2.1.1.3.2.35	protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L35
AT2G24200.1	GMM:29.5	protein.degradation
AT2G24270.1	GMM:4.1.9	glycolysis.cytosolic branch.non-phosphorylating glyceraldehyde 3-phosphate dehydrogenase (NPGAP-DH)
AT2G24280.1	GMM:29.5	protein.degradation
AT2G24580.1	GMM:13.1.5.2.41	amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.sarcosine oxidase
AT2G24680.1	GMM:27.3.41	RNA.regulation of transcription.B3 transcription factor family
AT2G24940.1	GMM:21.2	redox.ascorbate and glutathione
AT2G25060.1	GMM:26.19	misc.plastocyanin-like
AT2G25080.1	GMM:21.2	redox.ascorbate and glutathione
AT2G25160.1	GMM:26.10	misc.cytochrome P450
AT2G25450.1	GMM:17.5.1;GMM:16.5.1.1.1.13	hormone metabolism.ethylene.synthesis-degradation;secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.2-oxoglutarate-dependent dioxygenase
AT2G25560.1	GMM:20.2.1	stress.abiotic.heat
AT2G25600.1	GMM:34.15	transport.potassium
AT2G25630.1	GMM:26.3	"misc.gluco-, galacto- and mannosidases"
AT2G25660.1	GMM:33.99	development.unspecified
AT2G25690.1	GMM:33.99	development.unspecified
AT2G25700.1	GMM:29.5.11.4.3.1	protein.degradation.ubiquitin.E3.SCF.SKP
AT2G25730.1	GMM:35.2	not assigned.unknown
AT2G25800.1		
AT2G25850.1	GMM:27.1.3.1	RNA.processing.3' end processing.PAP
AT2G25950.1	GMM:35.2	not assigned.unknown
AT2G26040.1	GMM:20.2.99	stress.abiotic.unspecified
AT2G26080.1	GMM:25;GMM:1.2.4.1	C1-metabolism;PS.photorespiration.glycine cleavage.P subunit
AT2G26150.1	GMM:27.3.23;GMM:20.2.1	RNA.regulation of transcription.heat-shock transcription factor family (HSF);stress.abiotic.heat
AT2G26180.1	GMM:30.3	signalling.calcium
AT2G26320.1	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family
AT2G26420.1	GMM:30.4.1	signalling.phosphinositides.phosphatidylinositol-4-phosphate 5-kinase
AT2G26450.1	GMM:10.8.1	cell wall.pectinesterases.PME
AT2G26640.1	GMM:11.1.10	lipid metabolism.FA synthesis and FA elongation.beta ketoacyl CoA synthase
AT2G26865.1		
AT2G27020.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT2G27040.1	GMM:27.3.36	RNA.regulation of transcription.argonaute transcription factor family
AT2G27140.1	GMM:20.2.1	stress.abiotic.heat
AT2G27150.1	GMM:17.1.1.1.12	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.abscisic aldehyde oxidase
AT2G27170.1	GMM:31.2	cell.division
AT2G27250.1	GMM:33.99;GMM:30.2.99	development.unspecified;signalling.receptor kinases.misc
AT2G27280.1		
AT2G27430.1		
AT2G27530.1	GMM:29.2.1.2.2.510	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L10A
AT2G27630.1	GMM:29.5.11	protein.degradation.ubiquitin
AT2G27660.1	GMM:35.1.26	not assigned.no ontology.DC1 domain containing protein
AT2G27670.1		
AT2G27680.1	GMM:3.5	minor CHO metabolism.others
AT2G27710.1	GMM:29.2.1.2.2.82	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P2
AT2G27720.1	GMM:35.2;GMM:29.2.1.2.2.82	not assigned.unknown;protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P2
AT2G27730.1	GMM:35.2	not assigned.unknown
AT2G27760.1	GMM:17.4.1	hormone metabolism.cytokinin.synthesis-degradation
AT2G27790.1	GMM:35.2	not assigned.unknown
AT2G27840.1	GMM:27.3.55	RNA.regulation of transcription.HDA
AT2G27860.1	GMM:10.1.3	cell wall.precursor synthesis.AXS
AT2G27880.1	GMM:33.99	development.unspecified
AT2G28000.1	GMM:1.3.13	PS.calvin cycle.rubisco interacting
AT2G28050.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G28230.1	GMM:35.2	not assigned.unknown
AT2G28360.1		
AT2G28490.1	GMM:33.1	development.storage proteins
AT2G28720.1	GMM:28.1.3.2.2	DNA.synthesis/chromatin structure.histone.core.H2B
AT2G28820.1		
AT2G28880.1	GMM:13.1.6.5.1	amino acid metabolism.synthesis.aromatic aa.tryptophan.anthranilate synthase
AT2G28900.1	GMM:29.3.3	protein.targeting.chloroplast
AT2G29440.1	GMM:26.9	misc.glutathione S transferases
AT2G29450.1	GMM:26.9	misc.glutathione S transferases
AT2G29550.1	GMM:31.1	cell.organisation
AT2G29630.1	GMM:18.2	Co-factor and vitamine metabolism.thiamine
AT2G29720.1	GMM:26.7	"misc.oxidases - copper, flavone etc"
AT2G29760.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G29980.1	GMM:11.2.3	lipid metabolism.FA desaturation.omega 3 desaturase
AT2G29990.1	GMM:9.2.1.4	mitochondrial electron transport / ATP synthesis.NADH-DH.type II.internal matrix
AT2G30110.1	GMM:29.5.11.2	protein.degradation.ubiquitin.E1
AT2G30290.1	GMM:29.3.4.3	protein.targeting.secretory pathway.vacuole
AT2G30380.1	GMM:27.3.25	RNA.regulation of transcription.MYB domain transcription factor family
AT2G30490.1	GMM:16.2.1.2	secondary metabolism.phenylpropanoids.lignin biosynthesis.C4H
AT2G30620.1	GMM:28.1.3.1	DNA.synthesis/chromatin structure.histone.H1
AT2G30790.1	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
AT2G30860.1	GMM:26.9	misc.glutathione S transferases
AT2G30870.1	GMM:26.9	misc.glutathione S transferases
AT2G30930.1		
AT2G30950.1	GMM:29.5.7	protein.degradation.metalloprotease
AT2G30970.1	GMM:13.1.1.2.1	amino acid metabolism.synthesis.central amino acid metabolism.aspartate.aspartate aminotransferase
AT2G31240.1	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)
AT2G31320.1	GMM:29.4	protein.postranslational modification
AT2G31390.1	GMM:2.2.1.1	major CHO metabolism.degradation.sucrose.fructokinase
AT2G31400.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G31570.1	GMM:21.2.2	redox.ascorbate and glutathione.glutathione
AT2G31610.1	GMM:29.2.1.2.1.3	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S3
AT2G31650.1	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family
AT2G31720.1		
AT2G31990.1	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases
AT2G32060.1	GMM:29.2.1.2.1.12	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S12
AT2G32220.1	GMM:29.2.1.2.2.27	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L27
AT2G32350.1	GMM:29.5.11.1	protein.degradation.ubiquitin.ubiquitin
AT2G32390.1	GMM:30.1	signalling.in sugar and nutrient physiology
AT2G32430.1	GMM:29.7	protein.glycosylation
AT2G32870.1	GMM:35.1	not assigned.no ontology
AT2G32920.1	GMM:21.1.1	redox.thioredoxin.PDIL
AT2G32940.1	GMM:33.99	development.unspecified
AT2G32970.1	GMM:35.2	not assigned.unknown
AT2G33040.1	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase
AT2G33150.1	GMM:13.2.4.1	amino acid metabolism.degradation.branched chain group.shared
AT2G33210.1	GMM:29.6	protein.folding
AT2G33380.1	GMM:30.3	signalling.calcium
AT2G33410.1	GMM:27.4	RNA.RNA binding
AT2G33540.1	GMM:27.3	RNA.regulation of transcription
AT2G33680.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G33800.1	GMM:29.2.1.1.1.1.5	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S5
AT2G34180.1	GMM:29.4	protein.postranslational modification
AT2G34220.1	GMM:35.2	not assigned.unknown
AT2G34230.1	GMM:29.5.11	protein.degradation.ubiquitin
AT2G34310.1	GMM:35.2	not assigned.unknown
AT2G34400.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G34420.1	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II
AT2G34430.1	GMM:1.1.1.1	PS.lightreaction.photosystem II.LHC-II
AT2G34460.1		
AT2G34480.1	GMM:29.2.1.2.2.518	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L18A
AT2G34650.1	GMM:29.4	protein.postranslational modification
AT2G34680.1	GMM:33.99;GMM:17.2.3	development.unspecified;hormone metabolism.auxin.induced-regulated-responsive-activated
AT2G34750.1	GMM:27.1	RNA.processing
AT2G34780.1	GMM:33.99;GMM:31.2	development.unspecified;cell.division
AT2G34820.1	GMM:27.3.6	RNA.regulation of transcription.basic helix-loop-helix family (bHLH)
AT2G35050.1	GMM:29.4	protein.postranslational modification
AT2G35110.1	GMM:33.99;GMM:31.2	development.unspecified;cell.division
AT2G35215.1		
AT2G35260.1		
AT2G35340.1	GMM:27.1.2	RNA.processing.RNA helicase
AT2G35370.1	GMM:1.2.4.4	PS.photorespiration.glycine cleavage.H protein
AT2G35410.1	GMM:27.4	RNA.RNA binding
AT2G35490.1	GMM:31.1	cell.organisation
AT2G35605.1		
AT2G35630.1	GMM:31.1	cell.organisation
AT2G35760.1		
AT2G35840.1	GMM:2.1.1.2	major CHO metabolism.synthesis.sucrose.SPP
AT2G35990.1		
AT2G36160.1	GMM:29.2.1.2.1.14	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S14
AT2G36240.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G36250.1	GMM:31.2	cell.division
AT2G36270.1	GMM:27.3.35	RNA.regulation of transcription.bZIP transcription factor family
AT2G36460.1	GMM:4.3.10;GMM:4.1.10	glycolysis.unclear/dually targeted.aldolase;glycolysis.cytosolic branch.aldolase
AT2G36530.1	GMM:4.1.13	glycolysis.cytosolic branch.enolase
AT2G36580.1	GMM:4.1.14	glycolysis.cytosolic branch.pyruvate kinase (PK)
AT2G36620.1	GMM:29.2.1.2.2.24	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L24
AT2G36650.1		
AT2G36680.1		
AT2G36724.1		
AT2G36780.1	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases
AT2G36830.1	GMM:34.19.2	transport.major intrinsic proteins.TIP
AT2G36880.1	GMM:15.2;GMM:13.1.3.4	"metal handling.binding, chelation and storage;amino acid metabolism.synthesis.aspartate family.methionine"
AT2G37040.1	GMM:16.2.1.1	secondary metabolism.phenylpropanoids.lignin biosynthesis.PAL
AT2G37080.1	GMM:31.1	cell.organisation
AT2G37190.1	GMM:29.2.1.2.2.12	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L12
AT2G37220.1	GMM:27.4	RNA.RNA binding
AT2G37230.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G37260.1	GMM:27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family
AT2G37270.1	GMM:29.2.1.2.1.5	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5
AT2G37340.1	GMM:27.1.1	RNA.processing.splicing
AT2G37390.1	GMM:15.2	"metal handling.binding, chelation and storage"
AT2G37470.1	GMM:28.1.3.2.2	DNA.synthesis/chromatin structure.histone.core.H2B
AT2G37610.1		
AT2G37620.1	GMM:31.1.1.1.1;GMM:31.1	cell.organisation.cytoskeleton.actin.Actin;cell.organisation
AT2G37660.1		
AT2G37990.1	GMM:29.2.6	protein.synthesis.ribosomal RNA
AT2G38040.1	GMM:11.1.1.2.1	lipid metabolism.FA synthesis and FA elongation.acetyl CoA carboxylation.heteromeric complex.alpha carboxyltransferase
AT2G38140.1	GMM:29.2.1.1.1.1.31	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S31
AT2G38230.1	GMM:18	Co-factor and vitamine metabolism
AT2G38240.1	GMM:16.8.1	secondary metabolism.flavonoids.anthocyanins
AT2G38270.1	GMM:34.21	transport.calcium
AT2G38540.1	GMM:11.6	lipid metabolism.lipid transfer proteins etc
AT2G38590.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT2G38680.1	GMM:23.2	nucleotide metabolism.degradation
AT2G39010.1	GMM:34.19.1	transport.major intrinsic proteins.PIP
AT2G39020.1	GMM:26.24	misc.GCN5-related N-acetyltransferase
AT2G39240.1	GMM:27.1	RNA.processing
AT2G39280.1	GMM:30.5	signalling.G-proteins
AT2G39460.1	GMM:29.2.1.2.2.523	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L23A
AT2G39730.1	GMM:1.3.13	PS.calvin cycle.rubisco interacting
AT2G39770.1	GMM:10.1.1.1	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP mannose
AT2G39790.1		
AT2G39800.1	GMM:13.1.2.2.1	amino acid metabolism.synthesis.glutamate family.proline.delta 1-pyrroline-5-carboxylate synthetase
AT2G39990.1	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom
AT2G40010.1	GMM:29.2.1.2.2.80	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P0
AT2G40116.1	GMM:30.4.4	signalling.phosphinositides.phosphoinositide phospholipase C
AT2G40290.1	GMM:29.2.3	protein.synthesis.initiation
AT2G40490.1	GMM:19.7	tetrapyrrole synthesis.uroporphyrinogen decarboxylase
AT2G40510.1	GMM:29.2.1.2.1.26	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S26
AT2G40660.1	GMM:29.1	protein.aa activation
AT2G40700.1	GMM:29.2.2.3.1;GMM:29.2.2.2.1	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.snoRNPs;protein.synthesis.ribosome biogenesis.assembly factors.DExD-box helicases
AT2G40720.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein
AT2G40820.1	GMM:27.1.19	RNA.processing.ribonucleases
AT2G40840.1	GMM:2.2.2.4	major CHO metabolism.degradation.starch.D enzyme
AT2G40860.1	GMM:29.4	protein.postranslational modification
AT2G41530.1	GMM:25	C1-metabolism
AT2G41540.1	GMM:11.5.2	lipid metabolism.glycerol metabolism.glycerol-3-phosphate dehydrogenase (NAD+)
AT2G41550.1		
AT2G41560.1	GMM:30.3	signalling.calcium
AT2G41600.3	GMM:35.2	not assigned.unknown
AT2G41680.1	GMM:21.1	redox.thioredoxin
AT2G41740.1	GMM:31.1.1.1.3;GMM:31.1	cell.organisation.cytoskeleton.actin.actin binding;cell.organisation
AT2G41840.1	GMM:29.2.1.2.1.2	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S2
AT2G41860.1	GMM:30.3	signalling.calcium
AT2G41960.1		
AT2G42130.1		
AT2G42290.1	GMM:30.2.3	signalling.receptor kinases.leucine rich repeat III
AT2G42320.1	GMM:28.1	DNA.synthesis/chromatin structure
AT2G42330.1	GMM:35.1	not assigned.no ontology
AT2G42370.1		
AT2G42520.1	GMM:27.1.2	RNA.processing.RNA helicase
AT2G42530.1	GMM:20.2.2	stress.abiotic.cold
AT2G42540.1	GMM:20.2.2	stress.abiotic.cold
AT2G42540.2	GMM:20.2.2	stress.abiotic.cold
AT2G42590.1	GMM:30.7	signalling.14-3-3 proteins
AT2G42590.3	GMM:30.7	signalling.14-3-3 proteins
AT2G42600.1	GMM:4.1.15	glycolysis.cytosolic branch.phospho-enol-pyruvate carboxylase (PEPC)
AT2G42650.1	GMM:29.2.1.2.2.99	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.unknown
AT2G42690.1	GMM:11.9.2	lipid metabolism.lipid degradation.lipases
AT2G42740.1	GMM:29.2.1.2.2.16	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L16
AT2G43030.1	GMM:29.2.1.1.1.2.3	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L3
AT2G43090.1	GMM:35.1.23	not assigned.no ontology.aconitase C-terminal domain-containing protein
AT2G43180.1		
AT2G43280.1	GMM:30.11	signalling.light
AT2G43360.1	GMM:18.6.1	Co-factor and vitamine metabolism.biotin.biotin synthase
AT2G43410.1	GMM:27.4	RNA.RNA binding
AT2G43460.1	GMM:29.2.1.2.2.38	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L38
AT2G43560.1	GMM:29.6	protein.folding
AT2G43710.1	GMM:11.1.15	lipid metabolism.FA synthesis and FA elongation.ACP desaturase
AT2G43710.2	GMM:11.1.15	lipid metabolism.FA synthesis and FA elongation.ACP desaturase
AT2G43750.1	GMM:13.1.5.3.1	amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.OASTL
AT2G43910.1	GMM:13.1.3.4.13	amino acid metabolism.synthesis.aspartate family.methionine.methionine S-methyltransferase
AT2G43960.1	GMM:27.1	RNA.processing
AT2G44000.1		
AT2G44060.1	GMM:33.2	development.late embryogenesis abundant
AT2G44120.1	GMM:29.2.1.2.2.7	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L7
AT2G44160.1	GMM:25.6	C1-metabolism.methylenetetrahydrofolate reductase
AT2G44310.1	GMM:30.3	signalling.calcium
AT2G44350.1	GMM:8.1.2	TCA / organic transformation.TCA.CS
AT2G44450.1	GMM:26.3	"misc.gluco-, galacto- and mannosidases"
AT2G44650.1	GMM:29.6	protein.folding
AT2G44860.1	GMM:29.2.1.2.2.24	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L24
AT2G44900.1	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX
AT2G44920.1		
AT2G44990.1	GMM:17.1.1	hormone metabolism.abscisic acid.synthesis-degradation
AT2G45080.1	GMM:31.3	cell.cycle
AT2G45170.1	GMM:31.1;GMM:29.5.2	cell.organisation;protein.degradation.autophagy
AT2G45290.1	GMM:7.2.1;GMM:1.3.8	OPP.non-reductive PP.transketolase;PS.calvin cycle.transketolase
AT2G45330.1	GMM:33.99	development.unspecified
AT2G45380.1	GMM:35.2	not assigned.unknown
AT2G45470.1	GMM:10.5.1.1	cell wall.cell wall proteins.AGPs.AGP
AT2G45510.1	GMM:26.10	misc.cytochrome P450
AT2G45540.1	GMM:35.1	not assigned.no ontology
AT2G45580.1	GMM:26.10	misc.cytochrome P450
